module,revisions,code
src/renderers/__tests__/ReactChildReconciler-test.js,5,128
fixtures/dom/src/components/fixtures/selects/index.js,5,95
src/renderers/dom/stack/client/ReactDOMTextComponent.js,5,123
docs/docs/handling-events.md,5,111
src/renderers/native/__tests__/createReactNativeComponentClass-test.js,5,53
src/renderers/shared/shared/event/PluginModuleType.js,5,19
docs/docs/react-without-es6.md,5,180
src/renderers/shared/shared/event/ReactSyntheticEventType.js,5,19
docs/docs/reference-react-dom-server.md,5,57
packages/react-dom/index.js,4,23
scripts/tasks/flow.js,4,14
src/renderers/__tests__/ReactMultiChildReconcile-test.js,4,743
src/renderers/__tests__/ReactCompositeComponentDOMMinimalism-test.js,4,70
src/renderers/__tests__/ReactTreeTraversal-test.js,4,198
scripts/tasks/eslint.js,4,18
src/renderers/shared/utils/isTextInputElement.js,4,29
fixtures/dom/src/components/propTypes.js,4,12
fixtures/dom/src/components/fixtures/password-inputs/index.js,4,26
eslint-rules/__tests__/no-primitive-constructors-test.js,4,40
src/renderers/__tests__/ReactCompositeComponentNestedState-test.js,4,98
eslint-rules/no-primitive-constructors.js,4,38
src/renderers/native/ReactNativeGlobalResponderHandler.js,4,13
src/renderers/native/ReactNativeTagHandles.js,4,26
src/isomorphic/classic/element/ReactCurrentOwner.js,4,7
fixtures/dom/src/components/fixtures/number-inputs/NumberTestCase.js,4,35
docs/_posts/2016-09-28-our-first-50000-stars.md,4,174
src/renderers/dom/shared/setTextContent.js,4,31
src/renderers/dom/shared/syntheticEvents/__tests__/SyntheticClipboardEvent-test.js,4,53
packages/react/index.js,4,6
fixtures/packaging/README.md,4,28
docs/docs/react-without-jsx.md,4,43
src/renderers/shared/fiber/ReactPriorityLevel.js,4,10
docs/_js/examples/markdown.js,4,37
src/renderers/native/__tests__/ReactNativeAttributePayload-test.js,4,194
scripts/error-codes/__tests__/invertObject-test.js,4,51
scripts/print-warnings/print-warnings.js,4,59
src/renderers/shared/fiber/__tests__/ReactFiberHostContext-test.js,4,47
src/renderers/shared/utils/forEachAccumulated.js,4,13
src/renderers/dom/shared/utils/isCustomComponent.js,4,20
docs/docs/uncontrolled-components.md,4,53
fixtures/dom/src/components/fixtures/buttons/index.js,4,38
src/renderers/dom/shared/hooks/possibleStandardNames.js,4,482
src/renderers/shared/utils/__tests__/accumulateInto-test.js,4,34
